image,x,y,radius,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58
C:\Users\Noura\Desktop\ASU UNI TORTURE HELL FIRE\Senior 1\Sem 8\CV\Project\Coin-Counting-System\data\raw\011.jpg,362,643,60,60.0,11309.7333984375,376.9911193847656,0.9849547147750854,1.0,0.9943572282791138,103.71990203857422,88.82343292236328,172.73069763183594,0.004262574482709169,0.0011366865364834666,0.00047361940960399806,0.0005683432682417333,0.00018944776093121618,0.00037889552186243236,0.0008525149314664304,0.025954343378543854,0.6871270537376404,0.0897035151720047,0.03249029070138931,0.0336269773542881,0.03608979657292366,0.041110165417194366,0.03599507361650467,0.01004073116928339,0.08553566038608551,0.16652457416057587,0.07966278493404388,0.06649616360664368,0.0642227903008461,0.06261248141527176,0.06564364582300186,0.07473713904619217,0.0928293988108635,0.11679454147815704,0.09358718991279602,0.029080230742692947,0.0022733730729669333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00047361940960399806,0.001989201409742236,0.0017997537506744266,0.002652268623933196,0.03173249959945679,0.2302737534046173,0.279624879360199,0.2719522714614868,0.16434593498706818,0.015155821107327938,0.0,0.0,0.2089608758687973,69.160400390625
C:\Users\Noura\Desktop\ASU UNI TORTURE HELL FIRE\Senior 1\Sem 8\CV\Project\Coin-Counting-System\data\raw\011.jpg,96,715,71,71.0,15836.7685546875,446.1061706542969,0.9964891672134399,1.0,1.0,98.12622833251953,95.62458801269531,151.8480224609375,0.00040136463940143585,6.689410656690598e-05,6.689410656690598e-05,0.0,6.689410656690598e-05,0.00013378821313381195,0.0003344705328345299,0.03752759471535683,0.788347065448761,0.08582513779401779,0.025152184069156647,0.02194126695394516,0.018128303810954094,0.013311927206814289,0.006288046017289162,0.002408187836408615,0.03853100538253784,0.12141280621290207,0.09238076210021973,0.07960398495197296,0.07659374922513962,0.08294869214296341,0.08234664797782898,0.08528998494148254,0.08803264796733856,0.11398755759000778,0.10589337348937988,0.02822931297123432,0.004749481566250324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033447053283452988,0.06181015446782112,0.2731286287307739,0.3346712291240692,0.2197471410036087,0.10468927770853043,0.002608870156109333,0.0,0.0,0.0,0.1982741355895996,50.675132751464844
C:\Users\Noura\Desktop\ASU UNI TORTURE HELL FIRE\Senior 1\Sem 8\CV\Project\Coin-Counting-System\data\raw\011.jpg,259,443,78,78.0,19113.44921875,490.08843994140625,0.9947661757469177,1.0,0.9987941980361938,12.186041831970215,133.78781127929688,131.32330322265625,0.20082758367061615,0.7991724014282227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5172415159177035e-05,0.00022068966063670814,0.002648275811225176,0.012468965724110603,0.050151724368333817,0.23751723766326904,0.506041407585144,0.1361103504896164,0.03266206756234169,0.013296552002429962,0.005958620458841324,0.0022620689123868942,0.0005517241661436856,5.5172415159177035e-05,0.0,0.0,0.0,0.0001655172382015735,0.004248275887221098,0.058262068778276443,0.13765516877174377,0.15652413666248322,0.3549793064594269,0.24016551673412323,0.033986207097768784,0.007337931077927351,0.0033103448804467916,0.002096551703289151,0.000662068952806294,0.0006068965303711593,0.17406897246837616,62.782081604003906
C:\Users\Noura\Desktop\ASU UNI TORTURE HELL FIRE\Senior 1\Sem 8\CV\Project\Coin-Counting-System\data\raw\011.jpg,101,266,79,79.0,19606.6796875,496.37164306640625,0.997004508972168,1.0,0.9998977780342102,97.06089782714844,66.5071792602539,165.28514099121094,0.07153990864753723,0.014780973084270954,0.005374899134039879,0.0032786885276436806,0.003601182484999299,0.0037086803931742907,0.023757055401802063,0.4203171133995056,0.22687450051307678,0.010588551871478558,0.0064498791471123695,0.00462241331115365,0.005374899134039879,0.004891158081591129,0.026820747181773186,0.1680193543434143,0.1874764859676361,0.20521365106105804,0.07492609322071075,0.0661650076508522,0.060467615723609924,0.07051867991685867,0.08196721225976944,0.09072829782962799,0.08013974875211716,0.053480248898267746,0.019564632326364517,0.008546089753508568,0.0008062348933890462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010749798093456775,0.006557377055287361,0.09115829318761826,0.3028218150138855,0.2593388855457306,0.31792527437210083,0.022090835496783257,0.0,0.0,0.0,0.1518409103155136,48.24161148071289
C:\Users\Noura\Desktop\ASU UNI TORTURE HELL FIRE\Senior 1\Sem 8\CV\Project\Coin-Counting-System\data\raw\011.jpg,634,773,94,94.0,27759.11328125,590.6194458007812,0.9900404214859009,0.9523809552192688,1.0,88.86542510986328,118.19692993164062,165.25735473632812,0.039361659437417984,0.0023855550680309534,0.0006169538828544319,0.0006992144044488668,0.0005758236511610448,0.0003701723471749574,0.0007403446943499148,0.18311192095279694,0.74326491355896,0.005593715235590935,0.0024678155314177275,0.0011927775340154767,0.0013984288088977337,0.0015629498520866036,0.0031258997041732073,0.013531855307519436,0.020318347960710526,0.0273516234010458,0.029901698231697083,0.03993748128414154,0.047423187643289566,0.06251799315214157,0.08999300748109818,0.12803849577903748,0.2681692838668823,0.2363756000995636,0.04820466414093971,0.0017686011269688606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020565130398608744,8.226052159443498e-05,0.0009459959692321718,0.0035372022539377213,0.02879118174314499,0.3234894871711731,0.4417389929294586,0.14798668026924133,0.04943857342004776,0.0037428536452353,4.113026079721749e-05,0.0,0.1452309489250183,46.55682373046875
C:\Users\Noura\Desktop\ASU UNI TORTURE HELL FIRE\Senior 1\Sem 8\CV\Project\Coin-Counting-System\data\raw\011.jpg,382,317,102,102.0,32685.130859375,640.8848876953125,0.9975022673606873,1.0,0.999602198600769,97.73017883300781,80.23363494873047,173.54087829589844,0.04141069948673248,0.007034407928586006,0.0007320877048186958,0.00117770629003644,0.0011458764784038067,0.0005729382392019033,0.0056338924914598465,0.28981125354766846,0.4505840837955475,0.029347168281674385,0.0131457494571805,0.013655027374625206,0.013464048504829407,0.017474615946412086,0.0658242329955101,0.04898621886968613,0.12611006200313568,0.15482063591480255,0.08323518931865692,0.07285864651203156,0.07298596203327179,0.07298596203327179,0.08364897966384888,0.08625902980566025,0.09555336087942123,0.07550052553415298,0.0432250052690506,0.028519591316580772,0.0036286087706685066,0.0005411083111539483,6.365980516420677e-05,6.365980516420677e-05,3.1829902582103387e-05,9.548970410833135e-05,0.00012731961032841355,0.0002546392206568271,9.548970410833135e-05,0.0008912372286431491,0.001686984789557755,0.002514562103897333,0.037559282034635544,0.17808829247951508,0.32488781213760376,0.26075056195259094,0.18053920567035675,0.012095361948013306,0.0003819588164333254,0.0,0.17592386901378632,60.36995315551758
C:\Users\Noura\Desktop\ASU UNI TORTURE HELL FIRE\Senior 1\Sem 8\CV\Project\Coin-Counting-System\data\raw\011.jpg,386,142,107,107.0,35968.09375,672.3008422851562,0.9984176158905029,1.0,1.0,90.11016082763672,103.45932006835938,169.19900512695312,0.005054735578596592,0.0006354524521157146,0.0005487998714670539,0.0004043788358103484,0.0004043788358103484,0.0005487998714670539,0.009676207788288593,0.7519424557685852,0.16637301445007324,0.008982987143099308,0.004939198959618807,0.0043037463910877705,0.004188209306448698,0.004910314455628395,0.008549723774194717,0.02853759191930294,0.0681089535355568,0.07541665434837341,0.05043181777000427,0.05563097447156906,0.058230552822351456,0.06738684326410294,0.07943155616521835,0.0957222506403923,0.1633690595626831,0.2332688271999359,0.05239594355225563,0.0006065682391636074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003928251564502716,0.2424251139163971,0.437797874212265,0.27720171213150024,0.03861818090081215,2.8884203857160173e-05,0.0,0.0,0.10612056404352188,32.54642868041992
C:\Users\Noura\Desktop\ASU UNI TORTURE HELL FIRE\Senior 1\Sem 8\CV\Project\Coin-Counting-System\data\raw\011.jpg,67,566,156,156.0,76453.796875,980.1768798828125,0.8869746923446655,0.7156549692153931,1.0,95.04925537109375,154.9751739501953,152.61595153808594,0.00010724722960731015,0.0,2.6811807401827537e-05,0.0,0.0,2.6811807401827537e-05,0.00013405903882812709,0.07231144607067108,0.8759685754776001,0.026329195126891136,0.007909483276307583,0.005764538887888193,0.0050674318335950375,0.0034587231930345297,0.0025471218395978212,0.0003485534980427474,0.009062390774488449,0.02954661287367344,0.022334236651659012,0.023299461230635643,0.02871544659137726,0.034506797790527344,0.04319382086396217,0.056358419358730316,0.07888033986091614,0.10815883427858353,0.16191650927066803,0.18529640138149261,0.1008123978972435,0.035659704357385635,0.04008365422487259,0.04217497259378433,0.0,0.0,0.0,0.0002144944592146203,0.0005898597883060575,0.0007507306290790439,0.002413062611594796,0.04410542547702789,0.27685871720314026,0.36785799264907837,0.1866369992494583,0.09939137101173401,0.02035016193985939,0.0008311660494655371,0.0,0.0,0.16910207271575928,58.865516662597656
C:\Users\Noura\Desktop\ASU UNI TORTURE HELL FIRE\Senior 1\Sem 8\CV\Project\Coin-Counting-System\data\raw\011.jpg,514,509,200,200.0,125663.703125,1256.6370849609375,0.9981850385665894,1.0,1.0,83.8448715209961,87.55196380615234,168.21568298339844,0.1447519063949585,0.01418929360806942,0.0029320749454200268,0.0027046564500778913,0.002907708752900362,0.003898603841662407,0.011013555340468884,0.23984535038471222,0.446097731590271,0.02612064592540264,0.009746509604156017,0.011370928026735783,0.010542474687099457,0.011427782475948334,0.021669739857316017,0.04078102111816406,0.0665442943572998,0.0882546454668045,0.07037792354822159,0.10929898172616959,0.083771251142025,0.0966934934258461,0.12594114243984222,0.13270685076713562,0.1311880201101303,0.06732401251792908,0.023221058771014214,0.004150388762354851,0.00039798248326405883,8.934300421969965e-05,8.122091458062641e-06,3.2488365832250565e-05,2.4366274374187924e-05,0.0001624418218852952,0.000592912663705647,0.0018274704925715923,0.0043778070248663425,0.007001242600381374,0.013913142494857311,0.022059600800275803,0.04382680356502533,0.17594073712825775,0.37802648544311523,0.214593768119812,0.11673881858587265,0.019517384469509125,0.0009584067738614976,0.0004385929205454886,0.1823490709066391,61.57597732543945
C:\Users\Noura\Desktop\ASU UNI TORTURE HELL FIRE\Senior 1\Sem 8\CV\Project\Coin-Counting-System\data\raw\012.jpg,461,610,71,71.0,15836.7685546875,446.1061706542969,0.9964891672134399,1.0,1.0,4.922603607177734,106.00983428955078,169.6995086669922,0.9986621141433716,0.0003344705328345299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010034115985035896,6.689410656690598e-05,0.0012040939182043076,0.012776774354279041,0.06087363883852959,0.09238076210021973,0.13719981908798218,0.22663722932338715,0.27580440044403076,0.14516021311283112,0.040136463940143585,0.005886681377887726,0.0014047762379050255,0.0003344705328345299,0.00013378821313381195,0.0,0.0,0.0,0.0,0.0,0.0,0.0009365174919366837,0.022877784445881844,0.04542109742760658,0.10716436058282852,0.1536557674407959,0.14582915604114532,0.11191383749246597,0.09860191494226456,0.08736370503902435,0.06696099787950516,0.07150980085134506,0.08776506781578064,0.2556023895740509,107.26806640625
